Session campaign,Session source,Session medium,Session manual ad content,Total users,Engagement rate,Average session duration,Total users,Engagement rate,Average session duration
UCM - Work That Matters Awareness - Video - 7.8-9.30,google,cpc,(not set),258174,0.135578641,152.4869658,258174,0.135578641,152.4869658
UCM - Tony Awards - 6.5-6.9,google,cpc,(not set),56555,0.593689411,156.0866781,56555,0.593689411,156.0866781
UCM - Demand Gen - WTM - Huaiyiang - 12.15.2025 - 12.25.2025,google,cpc,(not set),53755,0.180973572,196.3444,53755,0.180973572,196.3444
UCM - Work That Matters Awareness - Video - 7.18-9.30 [PAUSED],google,cpc,(not set),12280,0.367154423,106.4274197,12280,0.367154423,106.4274197
UCM - Podcast - S2 E7 -  Stress - 6.20-7.20,google,cpc,(not set),10873,0.310637286,82.71330568,10873,0.310637286,82.71330568
research-impact,spotify,audio,general_poli,9519,0.288031863,133.3367044,9519,0.288031863,133.3367044
research-impact,li,video,general_cmu,5477,0.151108727,17.66741397,5477,0.151108727,17.66741397
UCM - Youtube Shorts - 10.1-1.31,google,cpc,(not set),4157,0.119238707,89.77307835,4157,0.119238707,89.77307835
research-impact,stackadapts,display,general_ble,3919,0.20378806,39.59416464,3919,0.20378806,39.59416464
research-impact,li,video,general_ble,1986,0.126459144,66.21819859,1986,0.126459144,66.21819859
research-impact,pbt,display,general_pgh,1801,0.32884097,36.32783726,1801,0.32884097,36.32783726
research-impact,axios,text,general_cmu,1337,0.387948544,105.2351373,1337,0.387948544,105.2351373
research-impact,che,display,general_cmu,1203,0.565466448,29.72110116,1203,0.565466448,29.72110116
UCM - AI Horizons Display & Video - 9.11.25 - 9.14.25,google,cpc,(not set),1013,0.44347064,314.6490788,1013,0.44347064,314.6490788
research-impact,wamu,display,general_ble,864,0.410664172,116.9904916,864,0.410664172,116.9904916
UCM - Work That Matters Awareness - Display - 7.8-9.30,google,cpc,(not set),834,0.356476684,78.04169118,834,0.356476684,78.04169118
UCM - Podcast - S2 E6 - Game Theory Pt. 2 - 6.5-7.5,google,cpc,(not set),794,0.42081448,78.34122381,794,0.42081448,78.34122381
research-impact,stackadapts,video,general_ble,439,0.28540305,32.30790088,439,0.28540305,32.30790088
research-impact,pghmagar,email,general_pgh,403,0.102189781,31.00279452,403,0.102189781,31.00279452
PLS Podcast_REMINDER_8.22.25,sfmc,email,(not set),274,0.632603406,116.2107894,274,0.632603406,116.2107894
research-impact,politico,display,general_poli,196,0.328638498,46.8642894,196,0.328638498,46.8642894
research-impact,pghmag412,email,general_pgh,185,0.366812227,252.7465763,185,0.366812227,252.7465763
research-impact,ppg,display,general_cmu,176,0.21761658,17.26093307,176,0.21761658,17.26093307
research-impact,politico,sponsored,general_ble,162,0.605263158,152.5406829,162,0.605263158,152.5406829
TepperFY26,PBT,Email,dedicated_email,117,0.534351145,144.1919218,117,0.534351145,144.1919218
wiwn,che,newsletter,(not set),59,0.35483871,11.85099063,59,0.35483871,11.85099063
research-impact,comcast,video,general_0,31,0.096774194,2.999475597,31,0.096774194,2.999475597
wiwn,nyt,display,(not set),25,0,3.963902945,25,0,3.963902945
UCM - Podcast - S2 E5 - Game Theory Pt. 1 - 5.22 - 6.22,google,cpc,(not set),20,0.514285714,3063.771874,20,0.514285714,3063.771874
podcast,google,cpc,ep10,14,0,1.521462427,14,0,1.521462427
podcast,google,cpc,ep15,11,0.272727273,14.05137397,11,0.272727273,14.05137397
nvidia,google,cpc,(not set),8,0,4.337510412,8,0,4.337510412
podcast,google,cpc,ep14,8,0,1.448833699,8,0,1.448833699
research-impact,comcast,video,general_cmu,8,0.375,12.52283914,8,0.375,12.52283914
wiwn,nyt,word,(not set),8,0,2.755084654,8,0,2.755084654
UCM - Podcast - S2 E3 - What’s Next for Theater Arts - 4.29-5.29,google,cpc,(not set),6,0,1.006730957,6,0,1.006730957
aihorizons,google,cpc,(not set),6,0,4.540632106,6,0,4.540632106
podcast,google,cpc,ep12,6,0.5,5.973204856,6,0.5,5.973204856
podcast,google,cpc,ep13,6,0,2.175091657,6,0,2.175091657
(not set),(not set),(not set),(not set),3,0,0,3,0,0
UCM - Podcast - S2 E1 - Healing Intelligence Pt. 1 - 4.1-5.1,google,cpc,(not set),3,0,4.779995327,3,0,4.779995327
UCM - Podcast - S2 E4 - Deepseek -  5.9-6.9,google,cpc,(not set),3,1,234.1700454,3,1,234.1700454
ottctv,effectv,video,(not set),3,0,0,3,0,0
podcast,google,cpc,ep7,3,0,4.577482499,3,0,4.577482499
podcast,google,cpc,ep8,3,0,0,3,0,0
research-impact,che,display,general_ble,3,1,21.94461809,3,1,21.94461809
research-impact,ig,video,general_cmu,3,0,5.092146969,3,0,5.092146969
research-impact,ppg,sponsoredcontent,general_ble,3,1,10.75610978,3,1,10.75610978
wiwn,inc,display,(not set),3,0,5.128959599,3,0,5.128959599
wiwn,inc,print,arm,3,1,10.59198163,3,1,10.59198163
wiwn,paramount,ott,(not set),3,0,8.144210676,3,0,8.144210676
wiwn,spotify,audio,(not set),3,0,0.000538935,3,0,0.000538935